nome_canal,perfil_canal,pais,inscritos,avg_views,avg_likes,avg_comments
Happy Lives,Happy Lives,,23500000,30800.0,218.0,0.0
Shemaroo Movies,shemaroomovies,India,23400000,45000.0,474.0,12.0
Troom Troom,Troom Troom,,23400000,367100.0,3500.0,128.0
NickyJamTV,NickyJamTV,Colombia,23300000,26800.0,2300.0,65.0
Mister Max,Mister Max,Russia,23100000,1800000.0,34800.0,1300.0
Enrique Iglesias,EnriqueIglesiasPlay,United States,23000000,29000.0,2800.0,155.0
Sesame Street,SesameStreet,,23000000,199300.0,517.0,0.0
Tina Pontes,mildicasdemulher,Brazil,23000000,105300.0,4000.0,0.0
netd müzik,netdmuzikk,Turkey,22900000,9300.0,244.0,50.0
Jelly,JellyYT,United States,22900000,224100.0,10300.0,531.0
Goldmines Bollywood,Goldmines Bollywood,India,22900000,20200.0,117.0,7.0
Crazy XYZ,Crazy XYZ,India,22900000,3700000.0,294100.0,10200.0
Anuel AA,Anuel AA,Colombia,22700000,44400000.0,832600.0,58200.0
DrossRotzank,DrossRotzank,Mexico,22700000,2200000.0,150200.0,8400.0
The Lallantop,The Lallantop,India,22600000,36900.0,1000.0,107.0
Miss Katy,Miss Katy,Russia,22500000,1000000.0,15600.0,667.0
Frost Diamond,Frost Diamond,Indonesia,22500000,488900.0,35100.0,1200.0
HUM TV,HumNetwork,Pakistan,22500000,1600.0,10.0,0.0
Like Nastya AE,Like Nastya AE,,22400000,456200.0,3000.0,0.0
WB Kids,WB Kids,,22400000,92600.0,559.0,0.0
The Chainsmokers,THECHAINSMOKERS,United States,22300000,34800.0,1700.0,47.0
Technical Guruji,Technical Guruji,India,22300000,178400.0,10500.0,1200.0
GMM GRAMMY OFFICIAL,gmmgrammyofficial,Thailand,22300000,3800.0,72.0,3.0
Venus Movies,VenusMovies,India,22200000,143600.0,1200.0,29.0
Smile Family,Smile Family,,22100000,78400.0,719.0,0.0
mmoshaya,mmoshaya,Saudi Arabia,22100000,2000000.0,33100.0,2200.0
America's Got Talent,AmericasGotTalent,United States,21900000,263300.0,4200.0,246.0
White Hill Music,WHBBP,India,21900000,22700.0,1700.0,54.0
Paulo Londra,Paulo Londra,Argentina,21900000,12500000.0,682900.0,24700.0
Diana and Roma ARA,Diana and Roma ARA,,21900000,1200000.0,8200.0,0.0
TED,TEDtalksDirector,United States,21900000,47500.0,1300.0,162.0
Goldmines Movies,goldmineshindi,India,21700000,9000.0,81.0,5.0
FaZe Rug,oRugrat,United States,21700000,4099999.0,106200.0,7300.0
Peppa Pig Español Latino - Canal Oficial,PeppaLatinoAmericano,,21600000,624900.0,3200.0,0.0
Pen Movies,PenIndiaPvtLimited,India,21600000,56000.0,2500.0,79.0
Enaldinho,TheEnaldinhO,Brazil,21600000,816100.0,43800.0,656.0
BabyBus - Canciones Infantiles & Cuentos,BabyBus - Canciones Infantiles & Cuentos,,21400000,478200.0,2300.0,0.0
MrBeast en Español,MrBeast en Español,Mexico,21200000,7100000.0,265600.0,10100.0
Like Nastya PRT,Like Nastya PRT,,21200000,365600.0,2200.0,0.0
Juan De Dios Pantoja,Juan De Dios Pantoja,Mexico,21200000,4600000.0,237300.0,4400.0
SSundee,SSundee,United States,21100000,1700000.0,95100.0,3700.0
Brent Rivera,Brent Rivera,United States,21100000,5000000.0,201900.0,13100.0
Tasty,Tasty,United States,21100000,112800.0,4300.0,64.0
FGTeeV,FGTeeV,United States,21100000,1300000.0,18500.0,2000.0
Preston,PrestonPlayz,United States,21000000,1400000.0,53200.0,521.0
Charlie Puth,CharliesVlogs,United States,21000000,615300.0,59800.0,2200.0
5-Minute Crafts DIY,5-Minute Crafts DIY,India,20900000,18300.0,303.0,9.0
D Billions,D Billions,,20900000,1000000.0,1200.0,0.0
Baim Paula,Baim Paula,Indonesia,20900000,642400.0,27100.0,2100.0
Goldmines Cineplex,Goldmines Cineplex,India,20800000,6400.0,84.0,3.0
Canal Canalha,CanalCanalha,Brazil,20700000,1200000.0,146900.0,4100.0
Kids TV - Nursery Rhymes And Baby Songs,Kids TV - Nursery Rhymes And Baby Songs,,20700000,122400.0,379.0,0.0
National Geographic,NationalGeographic,United States,20500000,40300.0,1600.0,57.0
Disney Latinoamérica,DisneyChannelLA,,20500000,22100.0,129.0,0.0
Brave Wilderness,Brave Wilderness,United States,20500000,1600000.0,32200.0,3100.0
Family GamesTV,Family GamesTV,,20500000,9600.0,0.0,0.0
StarPlus,starplus,India,20500000,260899.0,5600.0,69.0
Ultra Movie Parlour,UltraMovieParlour,India,20300000,40700.0,910.0,15.0
BuzzFeedVideo,BuzzFeedVideo,United States,20300000,33100.0,824.0,23.0
AuthenticGames,AuthenticGames,Brazil,20200000,26400.0,2000.0,114.0
Rotana,RotanaAudio,Saudi Arabia,20100000,153800.0,7200.0,172.0
LazarBeam,LazarBeam,United States,20100000,0.0,0.0,0.0
shfa show India,shfa show India,,20100000,1200000.0,9400.0,0.0
SlivkiShow,SlivkiChanel,Russia,20100000,2800000.0,195900.0,21900.0
5-Minute Crafts PLAY,5-Minute Crafts PLAY,India,20100000,79700.0,297.0,14.0
REACT,TheFineBros,United States,20100000,137500.0,5400.0,400.0
Vevo,VEVO,United States,20100000,11500.0,415.0,5.0
HaerteTest,HaerteTest,India,20000000,23400.0,151.0,32.0
LankyBox,LankyBox,United States,20000000,438000.0,6600.0,360.0
Lyrical Lemonade,GooodLifeFilms,United States,19900000,2900000.0,60200.0,2900.0
Tlnovelas,TelenovelaTelevisa,Mexico,19900000,11800.0,282.0,8.0
Mnet K-POP,Mnet,United States,19900000,9500.0,900.0,33.0
Pencilmation,rossbollinger,United States,19900000,172900.0,2500.0,76.0
Totoy kids - Português,Totoy kids - Português,,19900000,872400.0,4600.0,0.0
Vlad and Niki Arabic,Vlad and Niki Arabic,,19900000,975300.0,6500.0,0.0
toyorbabytv,toyorbabytv,,19800000,157300.0,0.0,0.0
Pentatonix,PTXofficial,United States,19700000,120300.0,5700.0,103.0
Dr. Vivek Bindra: Motivational Speaker,MrVivekBindra,India,19700000,172900.0,9400.0,608.0
Romeo Santos,romeo,United States,19700000,837100.0,38100.0,1600.0
Marvel Entertainment,MARVEL,United States,19700000,299400.0,12100.0,786.0
Noor Stars,Noor Stars,Iraq,19600000,1300000.0,131100.0,6500.0
Got Talent Global,gottalentglobal,United States,19500000,127000.0,1400.0,57.0
★ Kids Roma Show,★ Kids Roma Show,,19500000,1300000.0,8300.0,0.0
Gordon Ramsay,gordonramsay,United States,19500000,153800.0,3900.0,320.0
Deddy Corbuzier,corbuzierprediction,Indonesia,19500000,4200000.0,70700.0,8100.0
Kinder Spielzeug Kanal,Kinder Spielzeug Kanal,,19400000,83400.0,852.0,0.0
Troom Troom Es,Troom Troom Es,Mexico,19300000,125700.0,2500.0,72.0
Infinite,Infinite,United States,19300000,776700.0,25300.0,2400.0
Eva Bravo Play,Eva Bravo Play,,19300000,523500.0,3400.0,0.0
Robin Hood Gamer,RobinHoodGamer1,Brazil,19300000,1000000.0,51400.0,784.0
Kurzgesagt – In a Nutshell,Kurzgesagt,United States,19300000,7000000.0,329700.0,24700.0
Fatos Desconhecidos,fatosdesconhecidos,Brazil,19200000,194500.0,19000.0,683.0
Beast Reacts,Beast Reacts,United States,19100000,12700000.0,389700.0,7100.0
Sun TV,Sun TV,India,19100000,89400.0,1600.0,19.0
Crafty Panda,Crafty Panda,India,19100000,81300.0,571.0,15.0
NBA,NBA,United States,19100000,58300.0,1700.0,119.0
DLS News,DLS News,India,19000000,61500.0,1700.0,104.0
Clash of Clans,OfficialClashOfClans,United States,18900000,299400.0,14000.0,394.0
invictor,invictorgs3,Mexico,18900000,1300000.0,70200.0,982.0
Netflix India,Netflix India,India,18900000,131000.0,2800.0,105.0
Jimmy Kimmel Live,JimmyKimmelLive,United States,18900000,133100.0,3400.0,257.0
The ACE Family,The ACE Family,United States,18900000,702100.0,26000.0,2500.0
Green Gold TV - Official Channel,greengoldtv,,18800000,922600.0,7400.0,0.0
Britain's Got Talent,BritainsGotTalent09,United Kingdom,18700000,192200.0,1100.0,44.0
TRT Originals Urdu,TRT Originals Urdu,Pakistan,18700000,308200.0,13600.0,328.0
AS Gaming,AS Gaming,India,18700000,370700.0,32700.0,1100.0
TheWillyrex,TheWillyrex,Spain,18600000,25400.0,1500.0,0.0
The Royalty Family,The Royalty Family,United States,18500000,3400000.0,90200.0,0.0
Vania Mania Kids,Vania Mania Kids,,18500000,368000.0,1700.0,0.0
CookieSwirlC,CookieSwirlC,United States,18500000,238100.0,3300.0,535.0
Official Pink Panther,PinkPanther,,18400000,674900.0,4800.0,0.0
Sonotek,sonotekvideo,India,18400000,28600.0,655.0,58.0
BabyBus - Cerita & Lagu Anak-anak,BabyBus - Cerita & Lagu Anak-anak,,18400000,626400.0,4500.0,0.0
KBS WORLD TV,kbsworld,Indonesia,18400000,5300.0,137.0,6.0
MiawAug,MiawAug,Indonesia,18400000,850700.0,35400.0,2100.0
CKN,CKN,,18300000,235300.0,1400.0,0.0
HiMan,HiMan,Russia,18300000,1600000.0,76900.0,2400.0
ElTrollino,ElTrollino,Mexico,18300000,3500000.0,102600.0,2800.0
Unbox Therapy,Unbox Therapy,United States,18300000,1200000.0,28200.0,3300.0
Turma da Mônica,turmadamonicaTV,,18200000,127300.0,1200.0,0.0
Diana and Roma EN,TheElenaYa,,18200000,701100.0,2800.0,0.0
Heidi & Zidane बच्चों की कहानियाँ,Heidi & Zidane बच्चों की कहानियाँ,,18200000,165100.0,1300.0,0.0
Ninja Kidz TV,Ninja Kidz TV,United States,18200000,793900.0,18800.0,1300.0
INCRÍVEL,INCRÍVEL,,18200000,26100.0,1300.0,33.0
TheOdd1sOut,TheOdd1sOut,United States,18100000,1100000.0,44200.0,1600.0
Dan-Sa / Daniel Saboya,DanielSaboya,Brazil,18100000,40700.0,1300.0,48.0
Emiway Bantai,Emiway Bantai,India,18100000,1600000.0,208500.0,23600.0
GEN HALILINTAR,GEN HALILINTAR,Indonesia,18100000,195700.0,10400.0,238.0
Мирошка ТВ,Мирошка ТВ,United States,18100000,15000.0,87.0,3.0
Vsauce,Vsauce,United States,18100000,318900.0,17600.0,489.0
Farruko,farrukotv,United States,18100000,641600.0,39600.0,1800.0
Kids Channel India - Hindi Rhymes and Baby Songs,Kids Channel India - Hindi Rhymes and Baby Songs,,18000000,120200.0,1000.0,0.0
SCTV,SCTVIndonesia,Indonesia,17900000,24200.0,410.0,23.0
Village Cooking Channel,Village Cooking Channel,India,17900000,4700000.0,262500.0,5500.0
Like Nastya Vlog,Like Nastya Vlog,,17900000,415900.0,1800.0,0.0
Good Mythical Morning,rhettandlink2,United States,17900000,1200000.0,34600.0,1400.0
Naisa Alifia Yuriza (N.A.Y),Naisa Alifia Yuriza (N.A.Y),Indonesia,17900000,908300.0,35500.0,596.0
Lil Pump,Lil Pump,United States,17900000,1300000.0,77600.0,8100.0
Demi Lovato,therealdemilovato,United States,17800000,53500.0,5300.0,136.0
Marmok,dj47maryn,Russia,17800000,3900000.0,377100.0,17600.0
RsiamMusic : อาร์สยาม,rsiammusic,Thailand,17800000,10100.0,274.0,9.0
Познаватель,ThePoznavatel,Russia,17700000,3100000.0,65600.0,2400.0
TheGrefg,TheGrefg,Spain,17700000,986100.0,74800.0,1300.0
Ali-A,Matroix,United States,17700000,466400.0,13600.0,904.0
Little Angel Español - Canciones Infantiles,Little Angel Español - Canciones Infantiles,,17700000,425600.0,2600.0,0.0
Vlad and Niki IDN,Vlad and Niki IDN,,17700000,605500.0,2500.0,0.0
Mother Goose Club Playhouse,SockeyeMedia,,17700000,62900.0,160.0,0.0
etvteluguindia,etvteluguindia,India,17600000,18800.0,211.0,3.0
Khan GS Research Centre,Khan GS Research Centre,India,17600000,7100000.0,540400.0,23200.0
Sebastián Yatra,SebastianYatra,Colombia,17600000,84900.0,5300.0,389.0
TED-Ed,TEDEducation,United States,17500000,202500.0,12300.0,358.0
officialpsy,officialpsy,United States,17500000,3200000.0,258399.0,7400.0
Porta dos Fundos,portadosfundos,Brazil,17400000,738900.0,73600.0,725.0
Kiddiestv Hindi - Nursery Rhymes & Kids Songs,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,,17400000,55600.0,210.0,0.0
Junya Official Channel,Junya Official Channel,Japan,17400000,2100000.0,24100.0,132.0
RobleisIUTU,RobleisIUTU,Argentina,17400000,838800.0,57000.0,1900.0
Maya and Mary,Maya and Mary,,17400000,1600.0,0.0,0.0
Rafa & Luiz,Rafa & Luiz,Brazil,17400000,587500.0,33000.0,703.0
Masha e o Urso,Masha e o Urso,,17400000,489100.0,3600.0,0.0
Stubborn Facts,Stubborn Facts,India,17300000,66700.0,3400.0,166.0
SQUEEZIE,aMOODIEsqueezie,France,17300000,5300000.0,423000.0,7900.0
EeOneGuy,EeOneGuy,Russia,17300000,204600.0,13200.0,5600.0
SUPER SLICK SLIME SAM,SUPER SLICK SLIME SAM,Mexico,17200000,222200.0,6700.0,176.0
Willyrex,Willyrex,Mexico,17200000,151900.0,13200.0,66.0
Grammy Gold Official,grammygoldofficia,Thailand,17200000,15000.0,312.0,9.0
DUDU e CAROL,DUDU e CAROL,Brazil,17200000,3100000.0,188300.0,1100.0
