nome_canal,perfil_canal,inscritos,pais,avg_views,avg_likes,avg_comments
les boys tv2,les boys tv2,14700000,France,49700.0,0.0,0.0
XpressTV,XpressTV,14700000,Mexico,1100000.0,42200.0,380.0
Maha Fun Tv,Maha Fun Tv,14700000,India,958200.0,6000.0,244.0
LEGENDA FUNK,LEGENDA FUNK,14600000,Brazil,3800.0,224.0,6.0
Arif muhammad,Arif muhammad,14600000,Indonesia,2600000.0,65600.0,2100.0
حقائق وأسرار,حقائق وأسرار,14600000,Egypt,20500.0,1100.0,55.0
Unspeakable,Unspeakable,14600000,United States,3900000.0,59600.0,5600.0
IDEIAS INCRÍVEIS,IDEIAS INCRÍVEIS,14600000,Brazil,11500.0,182.0,5.0
FueledByRamen,Fueled By Ramen,14600000,United States,82400.0,1800.0,119.0
Taarak Mehta Ka Ooltah Chashmah,Taarak Mehta Ka Ooltah Chashmah,14600000,India,161800.0,2900.0,48.0
MattyBRaps,MattyBRaps,14600000,United States,27500.0,735.0,0.0
IISuperwomanII,Lilly Singh,14600000,United States,43000.0,2400.0,71.0
collegehumor,CollegeHumor,14600000,United States,251100.0,17200.0,600.0
zeefilmimusic,Zee Music Classic,14600000,India,3500.0,55.0,2.0
PlayStation,PlayStation,14600000,United States,33300.0,1200.0,112.0
Drawblogs,Drawblogs,14600000,Mexico,221500.0,3200.0,134.0
CNN,CNN,14600000,United States,259500.0,3600.0,1800.0
UFC,UFC - Ultimate Fighting Championship,14600000,United States,63200.0,1400.0,239.0
Genierock,Genierock,14600000,Thailand,327600.0,8300.0,315.0
Canal Nostalgia,Canal Nostalgia,14600000,,44900.0,6100.0,155.0
Azhan5star,Azhan5star,14500000,India,453000.0,25900.0,89.0
Tsuriki Show,Tsuriki Show,14500000,India,180600.0,5800.0,8.0
Gyan Gamingㅤ,Gyan Gamingㅤ,14500000,India,233800.0,24600.0,403.0
Boram Tube ToysReview [보람튜브 토이리뷰],Boram Tube ToysReview [보람튜브 토이리뷰],14400000,,16800.0,154.0,0.0
TheABSCBNNews,ABS-CBN News,14400000,Philippines,6300.0,51.0,5.0
Super Polina,Super Polina,14400000,Russia,1700.0,16.0,0.0
chadwildclay,Chad Wild Clay,14400000,United States,1100000.0,24800.0,4400.0
MartinGarrix,Martin Garrix,14400000,United States,35200.0,3300.0,73.0
PANDA BOI,PANDA BOI,14400000,India,2300000.0,235200.0,3400.0
Blippi Español,Blippi Español,14400000,,167400.0,747.0,0.0
O Canal do Joãozinho - Little Angel Português,O Canal do Joãozinho - Little Angel Português,14400000,,514700.0,2900.0,0.0
Daily Dose Of Internet,Daily Dose Of Internet,14400000,United States,6000000.0,279200.0,8000.0
Pragati Verma Shorts,Pragati Verma Shorts,14300000,India,2200000.0,139900.0,656.0
A2 Motivation by Arvind Arora,A2 Motivation by Arvind Arora,14300000,India,288100.0,40300.0,161.0
انصالة فاميلي I أنس و أصالة,انصالة فاميلي I أنس و أصالة,14300000,Egypt,1200000.0,104500.0,3200.0
